(2017/08/28-03:12:29) ::1 en-US,en;q=0.8 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36 
(2017/09/07-07:45:48) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:45:52) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:45:57) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:46:26) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:46:42) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:46:45) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:46:52) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:46:58) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:47:04) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:47:13) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:47:34) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:48:31) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:48:43) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:48:55) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:49:11) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:49:59) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:50:08) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:50:42) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:51:05) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:51:26) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:52:06) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:52:33) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:52:41) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:52:52) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
